商品編號,商品名稱,單價
302626 , (蔬)陽明春天古早味香菇竹筍粥,69
302677 , (OP優惠)40元霜淇淋,40
302706 , (預)陽明春天個人年菜套餐,409
302785 , 舒酸定專業抗敏護齦牙膏100g,249
302821 , K)Du真我nail mine指彩10黑櫻桃,185
302970 , 三得利啤酒外帶中杯,99
302971 , 三得利啤酒外帶大杯,129
303006 , 飛確RV2家用抗原快速檢驗試劑1入,200
303009 , 2O)金牌ONE台灣啤酒500cc罐,49
303044 , 小麥啤酒內用中杯,79
303045 , 小麥啤酒內用大杯,119
303050 , 三月啤酒內用中杯,79
303051 , K)Du真我nail mine12咖啡牛軋糖,185
303052 , 三月啤酒內用大杯,119
303226 , K)Du花漾玫色光潤護甲油/7ml,390
303265 , 蘇菲超熟睡棉柔厚型28cm16片,99
303420 , (區1)DAB-267鑰匙圈-貓頭鷹3白,150
303441 , 鐵)*泰山純水PET700,20
303449 , 鐵)多喝水微鹼性竹炭離子水850,29
303451 , 鐵)*多喝水PET700,20
303545 , 石安牧場初生動福蛋,480
303623 , 新東陽鳳梨酥禮盒,280
303630 , 吳寶春可可醇奶酪,59
303635 , (A)可樂果豌豆酥大,30
303681 , PowerBOMB爆能能量飲料Can225,35
303690 , 2O)啤酒肚小酌怡情草莓蘇打啤酒,79
303709 , 2O)臺虎精釀美莓大顆粒啤酒,99
303731 , 2O)臺虎精釀朦朧草莓優格啤酒,89
303817 , G)韓國爸爸的農場100%水梨汁,39
303896 , 2O)哈酒特攻-莓妳甜啤酒(草莓),99
303905 , 原味本舖-紅豆牛奶冰棒,25
303940 , (素)HAPPY HOME素肉咖哩即煮醬,119
303943 , G)日本Sokan細海帶莖(紫蘇梅),59
303976 , (預)百威大師臻藏啤酒,1000
303979 , 111年秋蘇格登12年威士忌禮盒,1380
303999 , 111秋約翰走路黑牌12年雪莉禮盒,850
304068 , 111年秋約翰走路綠牌威士忌禮盒,1099
304072 , 施巴旅行組,189
304085 , 2O)世界紀行福岡甘王草莓沙瓦,52
304086 , 軒尼詩VSOP 2022NBA聯名限量版,1700
304104 , 111七夕星空下的花園花束,999
304194 , (素)Master Pasto 白花椰菜濃湯,89
304228 , 晶英-黑晶叉燒油雞雙拼,99
304235 , SUNMAI金色三麥蜂蜜啤酒,125
304266 , (吊)石安牧場香滷蛋白丁,42
304272 , K)Farcent香水沐浴露-癮誘粉漾,369
304279 , 菠菜起司烤雞佐義式時蔬餐,99
304288 , (吊)石安牧場溫泉蛋(2入),49
304311 , @娘家熬雞精 7入(單盒),760
304347 , K)Farcent香水沐浴露-蔚藍愛語,369
304362 , (離)晶英-黑晶叉燒油雞雙拼,109
304397 , 奇鞭愛爾蘭威士忌利口酒50ml,129
304421 , 預)艾爾絲平面兒童口罩50入-藍,99
304438 , (離)菠菜起司烤雞佐義式時蔬餐,109
304470 , 美心精緻原味蛋卷(15件),399
304547 , 吳寶春月見幸福一口甜牛軋糖禮盒,499
304580 , (吊)辣味雞球,38
304585 , 牛肝菌蝦仁焗烤飯,109
304586 , 萬歲牌米奇系列堅果綜合果禮盒,429
304596 , (選)格蘭傑經典單一麥芽威士忌,950
304611 , (吊)酥炸海鮮丸,38
304666 , 米奇榛果巧克力脆捲桶,199
304683 , 白蘭氏傳統雞精41ml,59
304722 , 乾杯-炭烤燒肉新極大烤飯糰,49
304768 , 星巴克特選-月圓秋聚咖啡禮盒,399
304773 , (金)乾杯-炭烤燒肉新極大烤飯糰,54
304785 , 手信坊有餡之捲禮盒,350
304792 , 巴斯光年飛行船米果組,399
304803 , 手信坊御財箱,380
304836 , @小林煎餅禮盒,435
304840 , 顏顏台灣記憶名產禮盒,399
304850 , 選)醫強75%酒精液500ml(含噴頭),109
304860 , ★(澎)御選肉鬆飯糰,31
304868 , HelloKitty雪米餅-花舞禮盒,450
304873 , 75%酒精液500ml,90
304901 , 預)艾爾絲平面口罩50入-藍,99
304920 , (區)頌丹樂-瑪斯曼牛肉咖哩飯,89
304929 , 原味本舖麥仔茶TP375,15
304972 , 京都念慈菴雙層枇杷軟喉糖(原味),45
304984 , 蠟筆小新有夠愛餡蛋捲分享禮盒,399
305038 , @萬歲牌每日堅果(超值組)33入,666
305039 , HelloKitty芝麻蛋捲-花漾禮盒(粉,450
305041 , 104秋軒尼詩VSOP禮盒,1700
305044 , 預)艾爾絲平面口罩50入-黑,99
305052 , 御膳米2kgs(真空包),139
305069 , 法國葛蘭斯皇家珍藏紅酒,399
305092 , 104秋軒尼詩VSOP PC5限量版,1780
